ID;Edad;Tipo_Trabajo;Estado_Civil;Educacion;mora;Vivienda;Consumo;Contacto;Mes;Dia;Campana;Dias_Ultima_Camp;No_Contactos;Resultado_Anterior;emp_var_rate;cons_price_idx;cons_conf_idx;euribor3m;nr_employed;prediccion
5;41;empleado;casado;unknown;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
6;24;tecnico;single;Estudiante Universitario;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
11;57;ama de casa;divorciado;preescolar;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
13;54;pensionado;casado;bachillerato incompleto;unknown;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
16;39;Vive de los arriendos;single;bachillerato incompleto;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
18;41;tecnico;single;bachillerato;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
22;54;tecnico;single;pregrado;unknown;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
23;55;unknown;casado;pregrado;unknown;unknown;unknown;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
26;54;Vive de los arriendos;casado;preescolar;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
36;40;empleado;casado;bachillerato incompleto;no;no;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
41;55;empleado;casado;preescolar;unknown;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
42;55;tecnico;casado;Estudiante Universitario;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
52;44;Vive de los arriendos;divorced;pregrado;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
53;57;unknown;casado;unknown;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
55;41;empleado;divorciado;preescolar;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
62;31;administrador negocio;divorced;bachillerato;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
63;39;administrador negocio;casado;pregrado;no;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
75;54;servicios;casado;unknown;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
76;43;servicios;single;bachillerato;unknown;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
78;42;emprendedor;casado;unknown;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
85;52;administrador negocio;divorced;pregrado;no;no;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
87;48;empleado;divorciado;preescolar;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
91;50;administrador negocio;casado;primaria;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
92;56;pensionado;casado;preescolar;no;si;no;telefono fijo;may;mon;2;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;1
93;41;tecnico;casado;Estudiante Universitario;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
94;37;empleado;casado;primaria;no;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
96;35;empleado;casado;unknown;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
97;37;empleado;casado;primaria;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
99;39;Vive de los arriendos;divorced;pregrado;no;no;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
103;45;empleado;casado;bachillerato incompleto;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
104;43;desempleado;single;pregrado;no;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
109;42;empleado;casado;preescolar;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
115;56;emprendedor;casado;unknown;unknown;si;no;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
117;36;empleado;casado;bachillerato incompleto;no;si;si;telefono fijo;may;mon;1;999;0;sin contacto;1.1;93994.0;-36.4;4857.0;5191.0;0
